Transacao,Data de compra,ID Consumidor,ID Produto,Quantidade,Venda_unitaria,Faturamento
2036,"quarta-feira, 9 de junho de 2021",6114,14,4,"R$ 2,5",R$ 10
2102,"quarta-feira, 16 de junho de 2021",4948,14,4,"R$ 2,5",R$ 10
2260,"segunda-feira, 28 de junho de 2021",2106,14,4,"R$ 2,5",R$ 10
2265,"segunda-feira, 28 de junho de 2021",1361,14,4,"R$ 2,5",R$ 10
2279,"terça-feira, 29 de junho de 2021",4315,14,4,"R$ 2,5",R$ 10
2374,"quinta-feira, 8 de julho de 2021",8577,14,4,"R$ 2,5",R$ 10
2385,"sábado, 10 de julho de 2021",4925,14,4,"R$ 2,5",R$ 10
2500,"sábado, 17 de julho de 2021",2961,14,4,"R$ 2,5",R$ 10
2566,"sexta-feira, 23 de julho de 2021",9225,14,4,"R$ 2,5",R$ 10
2575,"sábado, 24 de julho de 2021",3840,14,4,"R$ 2,5",R$ 10
2611,"terça-feira, 27 de julho de 2021",6607,14,4,"R$ 2,5",R$ 10
2678,"segunda-feira, 2 de agosto de 2021",5639,14,4,"R$ 2,5",R$ 10
2682,"segunda-feira, 2 de agosto de 2021",1282,14,4,"R$ 2,5",R$ 10
2781,"terça-feira, 10 de agosto de 2021",8187,14,4,"R$ 2,5",R$ 10
2795,"quarta-feira, 11 de agosto de 2021",2143,14,4,"R$ 2,5",R$ 10
2867,"terça-feira, 17 de agosto de 2021",9631,14,4,"R$ 2,5",R$ 10
2869,"terça-feira, 17 de agosto de 2021",2215,14,4,"R$ 2,5",R$ 10
2922,"sábado, 21 de agosto de 2021",2224,14,4,"R$ 2,5",R$ 10
3021,"segunda-feira, 30 de agosto de 2021",5587,14,4,"R$ 2,5",R$ 10
3062,"sexta-feira, 3 de setembro de 2021",5882,14,4,"R$ 2,5",R$ 10
3090,"domingo, 5 de setembro de 2021",6927,14,4,"R$ 2,5",R$ 10
3119,"terça-feira, 7 de setembro de 2021",7971,14,4,"R$ 2,5",R$ 10
3164,"sábado, 11 de setembro de 2021",997,14,4,"R$ 2,5",R$ 10
3325,"sábado, 25 de setembro de 2021",5656,14,4,"R$ 2,5",R$ 10
3491,"quinta-feira, 7 de outubro de 2021",6567,14,4,"R$ 2,5",R$ 10
3498,"sexta-feira, 8 de outubro de 2021",6966,14,4,"R$ 2,5",R$ 10
3550,"terça-feira, 12 de outubro de 2021",6570,14,4,"R$ 2,5",R$ 10
3553,"terça-feira, 12 de outubro de 2021",4545,14,4,"R$ 2,5",R$ 10
3563,"quarta-feira, 13 de outubro de 2021",847,14,4,"R$ 2,5",R$ 10
3580,"sexta-feira, 15 de outubro de 2021",4619,14,4,"R$ 2,5",R$ 10
3601,"sábado, 16 de outubro de 2021",4221,14,4,"R$ 2,5",R$ 10
3632,"terça-feira, 19 de outubro de 2021",4234,14,4,"R$ 2,5",R$ 10
3661,"sexta-feira, 22 de outubro de 2021",2876,14,4,"R$ 2,5",R$ 10
3739,"sexta-feira, 29 de outubro de 2021",8892,14,4,"R$ 2,5",R$ 10
3795,"terça-feira, 2 de novembro de 2021",4061,14,4,"R$ 2,5",R$ 10
3958,"domingo, 14 de novembro de 2021",1582,14,4,"R$ 2,5",R$ 10
4057,"domingo, 21 de novembro de 2021",9386,14,4,"R$ 2,5",R$ 10
4084,"terça-feira, 23 de novembro de 2021",9069,14,4,"R$ 2,5",R$ 10
4086,"terça-feira, 23 de novembro de 2021",8199,14,4,"R$ 2,5",R$ 10
4165,"segunda-feira, 29 de novembro de 2021",6079,14,4,"R$ 2,5",R$ 10
4254,"sábado, 4 de dezembro de 2021",4556,14,4,"R$ 2,5",R$ 10
4453,"sexta-feira, 17 de dezembro de 2021",769,14,4,"R$ 2,5",R$ 10
4460,"sexta-feira, 17 de dezembro de 2021",5376,14,4,"R$ 2,5",R$ 10
4550,"quarta-feira, 22 de dezembro de 2021",2106,14,4,"R$ 2,5",R$ 10
4606,"domingo, 26 de dezembro de 2021",8189,14,4,"R$ 2,5",R$ 10
4616,"domingo, 26 de dezembro de 2021",588,14,4,"R$ 2,5",R$ 10
4678,"quinta-feira, 30 de dezembro de 2021",4179,14,4,"R$ 2,5",R$ 10
4933,"domingo, 9 de janeiro de 2022",4026,14,4,"R$ 2,5",R$ 10
4978,"terça-feira, 11 de janeiro de 2022",6779,14,4,"R$ 2,5",R$ 10
4979,"terça-feira, 11 de janeiro de 2022",8245,14,4,"R$ 2,5",R$ 10
4998,"quarta-feira, 12 de janeiro de 2022",924,14,4,"R$ 2,5",R$ 10
5088,"sábado, 15 de janeiro de 2022",3396,14,4,"R$ 2,5",R$ 10
5109,"domingo, 16 de janeiro de 2022",5148,14,4,"R$ 2,5",R$ 10
5156,"terça-feira, 18 de janeiro de 2022",6677,14,4,"R$ 2,5",R$ 10
5200,"quinta-feira, 20 de janeiro de 2022",5481,14,4,"R$ 2,5",R$ 10
5209,"quinta-feira, 20 de janeiro de 2022",2832,14,4,"R$ 2,5",R$ 10
5227,"sexta-feira, 21 de janeiro de 2022",52,14,4,"R$ 2,5",R$ 10
5345,"quarta-feira, 26 de janeiro de 2022",919,14,4,"R$ 2,5",R$ 10
5401,"sexta-feira, 28 de janeiro de 2022",4742,14,4,"R$ 2,5",R$ 10
5457,"domingo, 30 de janeiro de 2022",4771,14,4,"R$ 2,5",R$ 10
5485,"segunda-feira, 31 de janeiro de 2022",6240,14,4,"R$ 2,5",R$ 10
5568,"quinta-feira, 3 de fevereiro de 2022",7245,14,4,"R$ 2,5",R$ 10
5584,"quinta-feira, 3 de fevereiro de 2022",3130,14,4,"R$ 2,5",R$ 10
5608,"sexta-feira, 4 de fevereiro de 2022",4584,14,4,"R$ 2,5",R$ 10
5677,"segunda-feira, 7 de fevereiro de 2022",243,14,4,"R$ 2,5",R$ 10
5818,"sábado, 12 de fevereiro de 2022",1259,14,4,"R$ 2,5",R$ 10
5827,"sábado, 12 de fevereiro de 2022",3859,14,4,"R$ 2,5",R$ 10
5886,"segunda-feira, 14 de fevereiro de 2022",453,14,4,"R$ 2,5",R$ 10
5920,"terça-feira, 15 de fevereiro de 2022",5226,14,4,"R$ 2,5",R$ 10
5946,"quarta-feira, 16 de fevereiro de 2022",7638,14,4,"R$ 2,5",R$ 10
5961,"quinta-feira, 17 de fevereiro de 2022",4419,14,4,"R$ 2,5",R$ 10
6021,"sábado, 19 de fevereiro de 2022",1693,14,4,"R$ 2,5",R$ 10
6036,"sábado, 19 de fevereiro de 2022",2329,14,4,"R$ 2,5",R$ 10
6073,"domingo, 20 de fevereiro de 2022",8745,14,4,"R$ 2,5",R$ 10
6359,"quarta-feira, 2 de março de 2022",569,14,4,"R$ 2,5",R$ 10
6366,"quinta-feira, 3 de março de 2022",6607,14,4,"R$ 2,5",R$ 10
6380,"quinta-feira, 3 de março de 2022",248,14,4,"R$ 2,5",R$ 10
6432,"sábado, 5 de março de 2022",3360,14,4,"R$ 2,5",R$ 10
6485,"segunda-feira, 7 de março de 2022",5921,14,4,"R$ 2,5",R$ 10
6550,"quinta-feira, 10 de março de 2022",7812,14,4,"R$ 2,5",R$ 10
6666,"segunda-feira, 14 de março de 2022",5851,14,4,"R$ 2,5",R$ 10
6672,"segunda-feira, 14 de março de 2022",7171,14,4,"R$ 2,5",R$ 10
6748,"quinta-feira, 17 de março de 2022",7630,14,4,"R$ 2,5",R$ 10
6856,"terça-feira, 22 de março de 2022",3016,14,4,"R$ 2,5",R$ 10
6908,"quinta-feira, 24 de março de 2022",1002,14,4,"R$ 2,5",R$ 10
6921,"sexta-feira, 25 de março de 2022",7576,14,4,"R$ 2,5",R$ 10
7194,"segunda-feira, 4 de abril de 2022",395,14,4,"R$ 2,5",R$ 10
7283,"quinta-feira, 7 de abril de 2022",9456,14,4,"R$ 2,5",R$ 10
7313,"sexta-feira, 8 de abril de 2022",340,14,4,"R$ 2,5",R$ 10
7334,"sábado, 9 de abril de 2022",4607,14,4,"R$ 2,5",R$ 10
7454,"quarta-feira, 13 de abril de 2022",1117,14,4,"R$ 2,5",R$ 10
7487,"sexta-feira, 15 de abril de 2022",7652,14,4,"R$ 2,5",R$ 10
7539,"domingo, 17 de abril de 2022",7282,14,4,"R$ 2,5",R$ 10
7541,"domingo, 17 de abril de 2022",8042,14,4,"R$ 2,5",R$ 10
7677,"sexta-feira, 22 de abril de 2022",7247,14,4,"R$ 2,5",R$ 10
7705,"sábado, 23 de abril de 2022",3598,14,4,"R$ 2,5",R$ 10
7709,"sábado, 23 de abril de 2022",3317,14,4,"R$ 2,5",R$ 10
7841,"quarta-feira, 27 de abril de 2022",1864,14,4,"R$ 2,5",R$ 10
7847,"quinta-feira, 28 de abril de 2022",1270,14,4,"R$ 2,5",R$ 10
7882,"sexta-feira, 29 de abril de 2022",8877,14,4,"R$ 2,5",R$ 10
7979,"terça-feira, 3 de maio de 2022",8511,14,4,"R$ 2,5",R$ 10
8003,"quarta-feira, 4 de maio de 2022",3397,14,4,"R$ 2,5",R$ 10
8008,"quarta-feira, 4 de maio de 2022",5050,14,4,"R$ 2,5",R$ 10
8053,"quinta-feira, 5 de maio de 2022",5909,14,4,"R$ 2,5",R$ 10
8378,"terça-feira, 17 de maio de 2022",5813,14,4,"R$ 2,5",R$ 10
8381,"terça-feira, 17 de maio de 2022",5588,14,4,"R$ 2,5",R$ 10
8464,"sexta-feira, 20 de maio de 2022",1755,14,4,"R$ 2,5",R$ 10
8475,"sábado, 21 de maio de 2022",1366,14,4,"R$ 2,5",R$ 10
8533,"segunda-feira, 23 de maio de 2022",6048,14,4,"R$ 2,5",R$ 10
8621,"quinta-feira, 26 de maio de 2022",1948,14,4,"R$ 2,5",R$ 10
8634,"quinta-feira, 26 de maio de 2022",1538,14,4,"R$ 2,5",R$ 10
8659,"sexta-feira, 27 de maio de 2022",3661,14,4,"R$ 2,5",R$ 10
8684,"sábado, 28 de maio de 2022",8285,14,4,"R$ 2,5",R$ 10
8770,"terça-feira, 31 de maio de 2022",5249,14,4,"R$ 2,5",R$ 10
8805,"quarta-feira, 1 de junho de 2022",2513,14,4,"R$ 2,5",R$ 10
8858,"sexta-feira, 3 de junho de 2022",71,14,4,"R$ 2,5",R$ 10
8922,"segunda-feira, 6 de junho de 2022",9016,14,4,"R$ 2,5",R$ 10
8973,"quarta-feira, 8 de junho de 2022",6093,14,4,"R$ 2,5",R$ 10
9009,"quinta-feira, 9 de junho de 2022",1171,14,4,"R$ 2,5",R$ 10
9058,"sábado, 11 de junho de 2022",1511,14,4,"R$ 2,5",R$ 10
9096,"domingo, 12 de junho de 2022",8592,14,4,"R$ 2,5",R$ 10
9190,"quinta-feira, 16 de junho de 2022",3408,14,4,"R$ 2,5",R$ 10
9196,"quinta-feira, 16 de junho de 2022",6581,14,4,"R$ 2,5",R$ 10
9226,"sexta-feira, 17 de junho de 2022",8777,14,4,"R$ 2,5",R$ 10
9274,"domingo, 19 de junho de 2022",1328,14,4,"R$ 2,5",R$ 10
9301,"segunda-feira, 20 de junho de 2022",9456,14,4,"R$ 2,5",R$ 10
9335,"terça-feira, 21 de junho de 2022",7729,14,4,"R$ 2,5",R$ 10
9388,"quinta-feira, 23 de junho de 2022",6774,14,4,"R$ 2,5",R$ 10
9394,"quinta-feira, 23 de junho de 2022",8061,14,4,"R$ 2,5",R$ 10
9408,"sexta-feira, 24 de junho de 2022",3056,14,4,"R$ 2,5",R$ 10
9436,"sábado, 25 de junho de 2022",9379,14,4,"R$ 2,5",R$ 10
9528,"terça-feira, 28 de junho de 2022",7444,14,4,"R$ 2,5",R$ 10
9592,"sexta-feira, 1 de julho de 2022",7355,14,4,"R$ 2,5",R$ 10
9614,"sábado, 2 de julho de 2022",7446,14,4,"R$ 2,5",R$ 10
9637,"sábado, 2 de julho de 2022",5429,14,4,"R$ 2,5",R$ 10
9659,"domingo, 3 de julho de 2022",7580,14,4,"R$ 2,5",R$ 10
9721,"quarta-feira, 6 de julho de 2022",1596,14,4,"R$ 2,5",R$ 10
9848,"domingo, 10 de julho de 2022",10000,14,4,"R$ 2,5",R$ 10
9851,"domingo, 10 de julho de 2022",1750,14,4,"R$ 2,5",R$ 10
10150,"quarta-feira, 20 de julho de 2022",6382,14,4,"R$ 2,5",R$ 10
10187,"quinta-feira, 21 de julho de 2022",2790,14,4,"R$ 2,5",R$ 10
10260,"segunda-feira, 25 de julho de 2022",2711,14,4,"R$ 2,5",R$ 10
10345,"quinta-feira, 28 de julho de 2022",6152,14,4,"R$ 2,5",R$ 10
10395,"sexta-feira, 29 de julho de 2022",6434,14,4,"R$ 2,5",R$ 10
10446,"segunda-feira, 1 de agosto de 2022",5167,14,4,"R$ 2,5",R$ 10
10697,"quarta-feira, 10 de agosto de 2022",8615,14,4,"R$ 2,5",R$ 10
10743,"sexta-feira, 12 de agosto de 2022",6414,14,4,"R$ 2,5",R$ 10
10870,"terça-feira, 16 de agosto de 2022",5723,14,4,"R$ 2,5",R$ 10
10887,"quarta-feira, 17 de agosto de 2022",5294,14,4,"R$ 2,5",R$ 10
10891,"quarta-feira, 17 de agosto de 2022",5616,14,4,"R$ 2,5",R$ 10
10945,"sábado, 20 de agosto de 2022",2115,14,4,"R$ 2,5",R$ 10
10958,"sábado, 20 de agosto de 2022",1466,14,4,"R$ 2,5",R$ 10
10961,"sábado, 20 de agosto de 2022",1402,14,4,"R$ 2,5",R$ 10
10974,"domingo, 21 de agosto de 2022",1003,14,4,"R$ 2,5",R$ 10
10993,"domingo, 21 de agosto de 2022",75,14,4,"R$ 2,5",R$ 10
11007,"segunda-feira, 22 de agosto de 2022",1690,14,4,"R$ 2,5",R$ 10
11069,"quarta-feira, 24 de agosto de 2022",7658,14,4,"R$ 2,5",R$ 10
11088,"quinta-feira, 25 de agosto de 2022",2371,14,4,"R$ 2,5",R$ 10
11117,"sexta-feira, 26 de agosto de 2022",55,14,4,"R$ 2,5",R$ 10
11221,"terça-feira, 30 de agosto de 2022",1550,14,4,"R$ 2,5",R$ 10
11239,"quarta-feira, 31 de agosto de 2022",9956,14,4,"R$ 2,5",R$ 10
11314,"sábado, 3 de setembro de 2022",9770,14,4,"R$ 2,5",R$ 10
11383,"segunda-feira, 5 de setembro de 2022",8228,14,4,"R$ 2,5",R$ 10
11425,"quarta-feira, 7 de setembro de 2022",7221,14,4,"R$ 2,5",R$ 10
11475,"sexta-feira, 9 de setembro de 2022",2973,14,4,"R$ 2,5",R$ 10
11477,"sexta-feira, 9 de setembro de 2022",3901,14,4,"R$ 2,5",R$ 10
11478,"sexta-feira, 9 de setembro de 2022",10095,14,4,"R$ 2,5",R$ 10
11538,"domingo, 11 de setembro de 2022",5348,14,4,"R$ 2,5",R$ 10
11542,"domingo, 11 de setembro de 2022",780,14,4,"R$ 2,5",R$ 10
11547,"segunda-feira, 12 de setembro de 2022",1551,14,4,"R$ 2,5",R$ 10
11619,"quarta-feira, 14 de setembro de 2022",6311,14,4,"R$ 2,5",R$ 10
11695,"sábado, 17 de setembro de 2022",6222,14,4,"R$ 2,5",R$ 10
11911,"sábado, 24 de setembro de 2022",2918,14,4,"R$ 2,5",R$ 10
11923,"domingo, 25 de setembro de 2022",2641,14,4,"R$ 2,5",R$ 10
11938,"domingo, 25 de setembro de 2022",8850,14,4,"R$ 2,5",R$ 10
12211,"quinta-feira, 6 de outubro de 2022",1097,14,4,"R$ 2,5",R$ 10
12220,"quinta-feira, 6 de outubro de 2022",3191,14,4,"R$ 2,5",R$ 10
12332,"segunda-feira, 10 de outubro de 2022",5129,14,4,"R$ 2,5",R$ 10
12434,"quinta-feira, 13 de outubro de 2022",7169,14,4,"R$ 2,5",R$ 10
12448,"sexta-feira, 14 de outubro de 2022",472,14,4,"R$ 2,5",R$ 10
12502,"domingo, 16 de outubro de 2022",7087,14,4,"R$ 2,5",R$ 10
12646,"sexta-feira, 21 de outubro de 2022",158,14,4,"R$ 2,5",R$ 10
12729,"segunda-feira, 24 de outubro de 2022",8734,14,4,"R$ 2,5",R$ 10
12759,"terça-feira, 25 de outubro de 2022",2176,14,4,"R$ 2,5",R$ 10
12769,"terça-feira, 25 de outubro de 2022",6923,14,4,"R$ 2,5",R$ 10
12794,"quarta-feira, 26 de outubro de 2022",8893,14,4,"R$ 2,5",R$ 10
12836,"sexta-feira, 28 de outubro de 2022",1770,14,4,"R$ 2,5",R$ 10
12851,"sexta-feira, 28 de outubro de 2022",571,14,4,"R$ 2,5",R$ 10
12856,"sexta-feira, 28 de outubro de 2022",1636,14,4,"R$ 2,5",R$ 10
12870,"sábado, 29 de outubro de 2022",197,14,4,"R$ 2,5",R$ 10
12871,"sábado, 29 de outubro de 2022",6523,14,4,"R$ 2,5",R$ 10
12900,"domingo, 30 de outubro de 2022",5301,14,4,"R$ 2,5",R$ 10
12989,"quarta-feira, 2 de novembro de 2022",5054,14,4,"R$ 2,5",R$ 10
13000,"quarta-feira, 2 de novembro de 2022",7685,14,4,"R$ 2,5",R$ 10
13010,"quinta-feira, 3 de novembro de 2022",2251,14,4,"R$ 2,5",R$ 10
13016,"quinta-feira, 3 de novembro de 2022",5349,14,4,"R$ 2,5",R$ 10
13069,"sábado, 5 de novembro de 2022",1394,14,4,"R$ 2,5",R$ 10
13079,"sábado, 5 de novembro de 2022",5538,14,4,"R$ 2,5",R$ 10
13157,"terça-feira, 8 de novembro de 2022",6934,14,4,"R$ 2,5",R$ 10
13189,"quarta-feira, 9 de novembro de 2022",1259,14,4,"R$ 2,5",R$ 10
13203,"quinta-feira, 10 de novembro de 2022",2057,14,4,"R$ 2,5",R$ 10
13304,"domingo, 13 de novembro de 2022",165,14,4,"R$ 2,5",R$ 10
13446,"sexta-feira, 18 de novembro de 2022",8522,14,4,"R$ 2,5",R$ 10
13736,"quarta-feira, 30 de novembro de 2022",919,14,4,"R$ 2,5",R$ 10
13784,"sábado, 3 de dezembro de 2022",1103,14,4,"R$ 2,5",R$ 10
13917,"segunda-feira, 12 de dezembro de 2022",2769,14,4,"R$ 2,5",R$ 10
13919,"segunda-feira, 12 de dezembro de 2022",7646,14,4,"R$ 2,5",R$ 10
13953,"quarta-feira, 14 de dezembro de 2022",8968,14,4,"R$ 2,5",R$ 10
14025,"sábado, 24 de dezembro de 2022",9040,14,4,"R$ 2,5",R$ 10
14041,"segunda-feira, 26 de dezembro de 2022",5050,14,4,"R$ 2,5",R$ 10
119,"sexta-feira, 15 de janeiro de 2021",10213,15,4,R$ 7,R$ 28
216,"segunda-feira, 25 de janeiro de 2021",8342,15,4,R$ 7,R$ 28
243,"quarta-feira, 27 de janeiro de 2021",5499,15,4,R$ 7,R$ 28
298,"segunda-feira, 1 de fevereiro de 2021",5686,15,4,R$ 7,R$ 28
312,"terça-feira, 2 de fevereiro de 2021",3020,15,4,R$ 7,R$ 28
365,"sexta-feira, 5 de fevereiro de 2021",7281,15,4,R$ 7,R$ 28
417,"quarta-feira, 10 de fevereiro de 2021",8116,15,4,R$ 7,R$ 28
520,"sexta-feira, 19 de fevereiro de 2021",8765,15,4,R$ 7,R$ 28
529,"sexta-feira, 19 de fevereiro de 2021",7109,15,4,R$ 7,R$ 28
536,"sábado, 20 de fevereiro de 2021",5026,15,4,R$ 7,R$ 28
549,"segunda-feira, 22 de fevereiro de 2021",6204,15,4,R$ 7,R$ 28
586,"quarta-feira, 24 de fevereiro de 2021",9310,15,4,R$ 7,R$ 28
638,"domingo, 28 de fevereiro de 2021",7206,15,4,R$ 7,R$ 28
657,"terça-feira, 2 de março de 2021",2775,15,4,R$ 7,R$ 28
715,"sexta-feira, 5 de março de 2021",2269,15,4,R$ 7,R$ 28
748,"segunda-feira, 8 de março de 2021",8098,15,4,R$ 7,R$ 28
751,"segunda-feira, 8 de março de 2021",9481,15,4,R$ 7,R$ 28
790,"quinta-feira, 11 de março de 2021",8777,15,4,R$ 7,R$ 28
836,"sábado, 13 de março de 2021",6319,15,4,R$ 7,R$ 28
856,"segunda-feira, 15 de março de 2021",8483,15,4,R$ 7,R$ 28
870,"terça-feira, 16 de março de 2021",5433,15,4,R$ 7,R$ 28
874,"quarta-feira, 17 de março de 2021",6087,15,4,R$ 7,R$ 28
891,"quinta-feira, 18 de março de 2021",5948,15,4,R$ 7,R$ 28
915,"sexta-feira, 19 de março de 2021",2921,15,4,R$ 7,R$ 28
918,"sexta-feira, 19 de março de 2021",5781,15,4,R$ 7,R$ 28
960,"segunda-feira, 22 de março de 2021",3019,15,4,R$ 7,R$ 28
1088,"terça-feira, 30 de março de 2021",9467,15,4,R$ 7,R$ 28
1106,"quinta-feira, 1 de abril de 2021",7569,15,4,R$ 7,R$ 28
1383,"segunda-feira, 19 de abril de 2021",4340,15,4,R$ 7,R$ 28
1420,"quinta-feira, 22 de abril de 2021",9581,15,4,R$ 7,R$ 28
1421,"quinta-feira, 22 de abril de 2021",7331,15,4,R$ 7,R$ 28
1427,"quinta-feira, 22 de abril de 2021",9760,15,4,R$ 7,R$ 28
1563,"segunda-feira, 3 de maio de 2021",3271,15,4,R$ 7,R$ 28
1736,"domingo, 16 de maio de 2021",4541,15,4,R$ 7,R$ 28
1858,"quarta-feira, 26 de maio de 2021",6194,15,4,R$ 7,R$ 28
1973,"quinta-feira, 3 de junho de 2021",5875,15,4,R$ 7,R$ 28
2002,"domingo, 6 de junho de 2021",2296,15,4,R$ 7,R$ 28
2096,"terça-feira, 15 de junho de 2021",5877,15,4,R$ 7,R$ 28
2098,"quarta-feira, 16 de junho de 2021",282,15,4,R$ 7,R$ 28
2121,"sexta-feira, 18 de junho de 2021",9306,15,4,R$ 7,R$ 28
2193,"terça-feira, 22 de junho de 2021",3196,15,4,R$ 7,R$ 28
2266,"terça-feira, 29 de junho de 2021",5060,15,4,R$ 7,R$ 28
2272,"terça-feira, 29 de junho de 2021",7241,15,4,R$ 7,R$ 28
2547,"quinta-feira, 22 de julho de 2021",3692,15,4,R$ 7,R$ 28
2593,"segunda-feira, 26 de julho de 2021",4479,15,4,R$ 7,R$ 28
2685,"segunda-feira, 2 de agosto de 2021",5547,15,4,R$ 7,R$ 28
2715,"quinta-feira, 5 de agosto de 2021",4401,15,4,R$ 7,R$ 28
2790,"terça-feira, 10 de agosto de 2021",2963,15,4,R$ 7,R$ 28
2893,"sexta-feira, 20 de agosto de 2021",1173,15,4,R$ 7,R$ 28
2955,"terça-feira, 24 de agosto de 2021",1468,15,4,R$ 7,R$ 28
3025,"segunda-feira, 30 de agosto de 2021",4471,15,4,R$ 7,R$ 28
3121,"terça-feira, 7 de setembro de 2021",993,15,4,R$ 7,R$ 28
3168,"sábado, 11 de setembro de 2021",4567,15,4,R$ 7,R$ 28
3186,"segunda-feira, 13 de setembro de 2021",5014,15,4,R$ 7,R$ 28
3219,"quarta-feira, 15 de setembro de 2021",4210,15,4,R$ 7,R$ 28
3247,"sábado, 18 de setembro de 2021",4998,15,4,R$ 7,R$ 28
3281,"segunda-feira, 20 de setembro de 2021",6574,15,4,R$ 7,R$ 28
3317,"sábado, 25 de setembro de 2021",378,15,4,R$ 7,R$ 28
3327,"sábado, 25 de setembro de 2021",6877,15,4,R$ 7,R$ 28
3372,"quarta-feira, 29 de setembro de 2021",9997,15,4,R$ 7,R$ 28
3440,"segunda-feira, 4 de outubro de 2021",1659,15,4,R$ 7,R$ 28
3595,"sexta-feira, 15 de outubro de 2021",7366,15,4,R$ 7,R$ 28
3685,"domingo, 24 de outubro de 2021",2751,15,4,R$ 7,R$ 28
3811,"quarta-feira, 3 de novembro de 2021",6760,15,4,R$ 7,R$ 28
3827,"quinta-feira, 4 de novembro de 2021",10176,15,4,R$ 7,R$ 28
3898,"quarta-feira, 10 de novembro de 2021",1798,15,4,R$ 7,R$ 28
3900,"quarta-feira, 10 de novembro de 2021",6271,15,4,R$ 7,R$ 28
3972,"segunda-feira, 15 de novembro de 2021",6560,15,4,R$ 7,R$ 28
3976,"terça-feira, 16 de novembro de 2021",601,15,4,R$ 7,R$ 28
3977,"terça-feira, 16 de novembro de 2021",2493,15,4,R$ 7,R$ 28
4073,"segunda-feira, 22 de novembro de 2021",1141,15,4,R$ 7,R$ 28
4139,"sábado, 27 de novembro de 2021",2756,15,4,R$ 7,R$ 28
